District,Thana,EIIN,College Name,Shift,Version,Group Name,Gender,Min GPA,Own GPA,Available Seat
Barguna,Betagi,100248,Kadvanu Memorial Secondary Girls Scool And College,Day,Bangla,Business Studies,Female,2.00,0.00,150
Barguna,Betagi,100294,Kaunia College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barguna,Betagi,100294,Kaunia College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barguna,Betagi,100294,Kaunia College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Patharghata,100345,Govt. Hazi Jalaluddin Mohila College,Day,Bangla,Business Studies,Female,2.50,0.00,150
Barguna,Patharghata,100345,Govt. Hazi Jalaluddin Mohila College,Day,Bangla,Humanities,Female,2.50,0.00,150
Barguna,Patharghata,100345,Govt. Hazi Jalaluddin Mohila College,Day,Bangla,Science,Female,3.00,0.00,150
Barguna,Patharghata,100345,Govt. Hazi Jalaluddin Mohila College,Day,Bangla,Music,Female,2.50,0.00,150
Barguna,Patharghata,100310,Kathaltali Saptagram High School And College,Day,Bangla,Humanities,Co-Edu,1.00,1.00,150
Barguna,Patharghata,100310,Kathaltali Saptagram High School And College,Day,Bangla,Business Studies,Co-Edu,2.00,1.00,150
Barguna,Patharghata,100346,Patharghata College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barguna,Patharghata,100346,Patharghata College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barguna,Patharghata,100346,Patharghata College,Day,Bangla,Science,Co-Edu,2.50,0.00,150
Barguna,Patharghata,100344,Syed Fazlul Haque College,Day,Bangla,Science,Co-Edu,3.00,0.00,150
Barguna,Patharghata,100344,Syed Fazlul Haque College,Day,Bangla,Humanities,Co-Edu,2.50,0.00,150
Barguna,Patharghata,100344,Syed Fazlul Haque College,Day,Bangla,Business Studies,Co-Edu,2.50,0.00,150
Barishal,Agailjhara,100384,Adarsha Madhamik Bidyalaya And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Agailjhara,100384,Adarsha Madhamik Bidyalaya And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Agailjhara,100355,Askar Kalibari Secondary School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Agailjhara,100355,Askar Kalibari Secondary School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Agailjhara,100386,Bagdha Secondary School And College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Agailjhara,100386,Bagdha Secondary School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Agailjhara,100386,Bagdha Secondary School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Agailjhara,100387,Bahadurpur Nishi Kanta Gain Girls  Higher Secondary School And College,Day,Bangla,Humanities,Female,1.00,0.00,150
Barishal,Agailjhara,100387,Bahadurpur Nishi Kanta Gain Girls  Higher Secondary School And College,Day,Bangla,Business Studies,Female,2.00,0.00,150
Barishal,Agailjhara,136509,Bashail Shahid Sukanta Babu College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Agailjhara,136509,Bashail Shahid Sukanta Babu College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Agailjhara,132027,Chayagram Secondary School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Agailjhara,132027,Chayagram Secondary School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Agailjhara,132027,Chayagram Secondary School And College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Agailjhara,100382,Govt. Shaheed  Abdur Rob Serniabad College,Day,Bangla,Science,Co-Edu,3.00,0.00,150
Barishal,Agailjhara,100382,Govt. Shaheed  Abdur Rob Serniabad College,Day,Bangla,Humanities,Co-Edu,2.50,0.00,150
Barishal,Agailjhara,100382,Govt. Shaheed  Abdur Rob Serniabad College,Day,Bangla,Business Studies,Co-Edu,2.50,0.00,150
Barishal,Agailjhara,100353,Paisa Secondary School And College,Day,Bangla,Humanities,Co-Edu,1.00,0.00,150
Barishal,Agailjhara,100353,Paisa Secondary School And College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100440,Agarpur College,Day,Bangla,Business Studies,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100440,Agarpur College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100440,Agarpur College,Day,Bangla,Science,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100441,Babuganj College,Day,Bangla,Humanities,Co-Edu,2.00,0.00,150
Barishal,Babuganj,100441,Babuganj College,Day,Bangla,Business Studies,Co-Edu,2.50,0.00,150
