"District","Thana","EIIN","College Name","Shift","Version","Group Name","Gender","Min GPA","Own GPA","Available Seat"
"Brahmanbaria","Bijoynagar","103232","NIDARABAD UNION SCHOOL AND COLLEGE","Day","Bangla","Humanities","Co-Edu","1.00","1.00","150"
"Brahmanbaria","Bijoynagar","136976","Purbachal College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Bijoynagar","136976","Purbachal College","Day","Bangla","Science","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Bijoynagar","136976","Purbachal College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103296","A. Monem Mohabidhalaya","Day","Bangla","Humanities","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103296","A. Monem Mohabidhalaya","Day","Bangla","Science","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103296","A. Monem Mohabidhalaya","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","132032","Alhaj Begum Nurunnahar College","Day","Bangla","Business Studies","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","132032","Alhaj Begum Nurunnahar College","Day","Bangla","Humanities","Co-Edu","1.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103299","Bangladesh Gas Fields School & College","Day","Bangla","Humanities","Co-Edu","3.00","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103299","Bangladesh Gas Fields School & College","Day","Bangla","Science","Co-Edu","4.00","1.00","250"
"Brahmanbaria","Brahmanbaria Sadar","103299","Bangladesh Gas Fields School & College","Day","Bangla","Business Studies","Co-Edu","3.50","1.00","150"
"Brahmanbaria","Brahmanbaria Sadar","134348","Brahmanbaria City Model College","Day","Bangla","Science","Co-Edu","2.50","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","134348","Brahmanbaria City Model College","Day","Bangla","Business Studies","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","134348","Brahmanbaria City Model College","Day","Bangla","Humanities","Co-Edu","2.00","0.00","150"
"Brahmanbaria","Brahmanbaria Sadar","103294","Brahmanbaria Govt. College","Day","Bangla","Humanities","Co-Edu","4.00","1.00","400"
"Brahmanbaria","Brahmanbaria Sadar","103294","Brahmanbaria Govt. College","Day","Bangla","Business Studies","Co-Edu","4.00","1.00","400"
"Brahmanbaria","Brahmanbaria Sadar","103294","Brahmanbaria Govt. College","Day","Bangla","Science","Co-Edu","4.50","1.00","400"
"Brahmanbaria","Brahmanbaria Sadar","103291","Brahmanbaria Govt. Mohila College","Day","Bangla","Business Studies","Female","3.50","0.00","300"
"Brahmanbaria","Brahmanbaria Sadar","103291","Brahmanbaria Govt. Mohila College","Day","Bangla","Science","Female","4.00","0.00","150"
